MAC;X;Y;RSSI
wij;20;25;-
"		00:26:CB:42:18:F0";28;47;53
"		00:26:CB:42:82:00";9;47;
"		00:26:CB:42:8B:20";9;6;
"		00:23:EB:DD:D5:30";9;27;
"		00:26:CB:42:87:C0";28;6;
"		00:26:CB:42:8C:B0";28;27;
"		00:26:CB:42:89:30";59;47;
"		00:26:CB:42:1A:A0";42;27;
"		00:26:CB:42:19:10";42;6;
"		00:26:CB:42:1B:70";59;27;
"		00:23:EB:DD:D3:F0";59;6;
"		00:26:CB:42:8D:00";72;6;
"		00:26:CB:42:11:C0";72;27;
"		00:26:CB:42:13:B0";91;47;
"		00:26:CB:42:1A:40";72;47;
"		00:26:CB:42:89:E0";91;27;
"		00:26:CB:42:08:30";91;6;
"		00:26:CB:42:87:B0";80;62;
